inter_screen_id,color
ace2_s1_ds1,#ffe88c
ace2_s1_ds2,#ffe88c
ace2_s1_ds3,#ffe88c
ace2_s1_ds4,#ffe88c
ace2_s1_ds5,#ffe88c
mpro_s1_ds1,#9000ff
mpro_s1_ds2,#9000ff
mpro_s1_ds3,#9000ff
mpro_s1_ds4,#9000ff
nsp10_s1_ds1,#9000ff
nsp10_s1_ds2,#9000ff
nsp10_s1_ds3,#9000ff
nsp12_s1_ds1,#9000ff
nsp12_s1_ds3,#9000ff
nsp12_s1_ds4,#9000ff
nsp12_s1_ds5,#9000ff
nsp12_s1_ds6,#9000ff
nsp13_s1_ds1,#9000ff
nsp13_s1_ds2,#9000ff
nsp13_s1_ds3,#9000ff
nsp14_s1_ds1,#9000ff
nsp14_s1_ds2,#9000ff
nsp14_s1_ds3,#9000ff
nsp15_s1_ds1,#9000ff
nsp16_s1_ds1,#9000ff
nsp16_s1_ds2,#9000ff
nsp7_s1_ds1,#9000ff
nsp8_s1_ds1,#9000ff
nsp8_s1_ds2,#9000ff
nsp9_s1_ds1,#9000ff
nsp9_s1_ds2,#9000ff
orf7a_s1_ds1,#4100f2
phosphatase_s1_ds1,#9000ff
phosphatase_s1_ds2,#9000ff
plpro_s1_ds1,#9000ff
plpro_s1_ds2,#9000ff
plpro_s1_ds3,#9000ff
plpro_s1_ds4,#9000ff
rnp_s1_ds1,#de49c3
rnp_s1_ds3,#de49c3
rnp_s1_ds4,#de49c3
rnp_s1_ds5,#de49c3
spike_s1_ds1,#de49c3
spike_s1_ds2,#de49c3
tmprss2_s1_ds1,#ffe88c
